miRNA	DC	Pearson_corr	Spearman_Corr	Cluster_TB	Cluster
hsa-miR-1911-3p	0.05452916453700774	-0.03858852583837329	0.010124142252083882	3	3
hsa-miR-1911-5p	0.10078610057563107	-0.10215898933392628	-0.07547297268134315	3	3
hsa-miR-1913	0.11186311538293738	-0.00985276443144339	0.08658344296263587	3	3
hsa-miR-1914-3p	0.05293811516227362	-0.000578138524976649	-0.012233659412519507	3	5
hsa-miR-1914-5p	0.07350042405576394	0.044871718091034934	0.04895558724166959	3	3
hsa-miR-1915-3p	0.040598015152954185	-0.038094634551509396	-0.006514959618030681	3	5
hsa-miR-1915-5p	0.02969510473025771	-0.013772394761144995	-0.010658864706854924	3	4
hsa-miR-192-3p	0.10964396009526962	-0.023464401969969757	0.04878078476430424	3	2
hsa-miR-193a-3p	0.11102828596380408	-0.10348503819524062	0.08077988873596584	3	1
hsa-miR-193b-3p	0.14283048826170452	-0.12952165234348503	0.06660487167977218	3	3
hsa-miR-193b-5p	0.10334609070698063	-0.13603469148299352	0.01830206259862599	3	3
hsa-miR-194-3p	0.09297429262644523	-0.039726847978770595	-0.010201852604812635	3	2
hsa-miR-195-3p	0.09034784385256835	-0.0343215406677994	0.0312658947824076	3	3
hsa-miR-195-5p	0.16666086107898487	-0.1700014396084461	0.0056006093880241435	3	1
hsa-miR-196a-3p	0.05950034976943255	-0.06280645059170172	-0.036544000557217064	3	3
hsa-miR-196a-5p	0.10540900903882022	-0.10528810501762942	0.04888221842503111	3	3
hsa-miR-196b-3p	0.07971249567496488	-0.061012225034215516	0.037618366847267166	3	3
hsa-miR-196b-5p	0.11610997298991979	-0.11799972157020087	-0.09133828524660335	3	1
hsa-miR-1972	0.04562974057696731	-0.012943432277053028	-0.0031728588043408307	3	5
hsa-miR-198	0.046737363578131116	0.03640301821186828	0.04469027116515958	3	3
hsa-miR-199a-3p	0.10504927729278339	-0.07743398500329526	-0.04481967911808947	3	1
hsa-miR-19a-3p	0.17220496080693484	-0.17463577631341	-0.06602640347290611	3	2
hsa-miR-19a-5p	0.15154977687038865	-0.15949107673192797	-0.051171609378950614	3	3
hsa-miR-19b-1-5p	0.1436898320958039	-0.16635716995715888	-0.0021986381921045386	3	2
hsa-miR-19b-2-5p	0.14904030190990275	-0.1581192556217973	-0.0711162673972974	3	2
hsa-miR-19b-3p	0.1684840623917528	-0.1799182588678881	-0.011492606697715116	3	4
hsa-miR-200a-3p	0.15798325389416248	-0.16763511755628663	-0.09691438310470324	3	3
hsa-miR-200b-3p	0.14138404683301573	-0.08152061190161418	-0.08108275920424146	3	2
hsa-miR-200b-5p	0.05759248596346717	-0.005929317111356934	0.020193339426330007	3	3
hsa-miR-200c-3p	0.10373957117276568	-0.1277745449450865	-0.0029541025564124657	3	3
hsa-miR-200c-5p	0.16134983916530687	-0.1585954103753867	-0.06840821086244663	3	3
hsa-miR-202-3p	0.11624832605583145	0.03433196308227204	0.054871010240554276	3	3
hsa-miR-202-5p	0.09023919772029595	-0.07199667445375123	-0.05137665607286101	3	3
hsa-miR-203a-3p	0.12504120106694222	-0.1400813604590954	-0.040024053146750956	3	2
