miRNA	Spearman_r	p_value
hsa-miR-191-3p	-0.008824607702950833	0.8005570845920306
hsa-miR-152-3p	-0.00887568518726813	0.7994272083119508
hsa-miR-6513-5p	-0.008876736987033043	0.7994039460242601
hsa-miR-10394-3p	-0.008876769621356143	0.799403224265187
hsa-miR-6739-3p	-0.008921153894465041	0.7984217552349107
hsa-miR-130a-5p	-0.008947316139136192	0.7978433785641469
hsa-miR-4508	-0.008965232832679733	0.7974473526625936
hsa-miR-3165	-0.008965914870983046	0.7974322780940857
hsa-miR-324-3p	-0.008969845794990114	0.7973453973714433
hsa-miR-6765-5p	-0.00905188606266316	0.7955327285420204
hsa-miR-1185-1-3p	-0.009220577814241454	0.7918089760442065
hsa-miR-330-3p	-0.009251333724637207	0.7911305688238459
hsa-miR-877-5p	-0.009346617864163126	0.7890298163638437
hsa-miR-6721-5p	-0.009370881829851928	0.7884951066797611
hsa-miR-876-3p	-0.009399862109164417	0.7878565930310695
hsa-miR-4307	-0.009413326296772155	0.7875599890768458
hsa-miR-4450	-0.009413326296772155	0.7875599890768458
hsa-miR-601	-0.009413326296772155	0.7875599890768458
hsa-miR-4776-5p	-0.009413326296772155	0.7875599890768458
hsa-miR-4743-5p	-0.009414199861039113	0.7875407463029004
hsa-miR-523-3p	-0.009434531538622126	0.787092919024234
hsa-miR-4322	-0.00949282424721011	0.7858093488413831
hsa-miR-3074-3p	-0.0094962163689649	0.7857346742262942
hsa-miR-425-5p	-0.009498759194882347	0.7856786974120482
hsa-miR-570-3p	-0.00952829166563256	0.7850286617882841
hsa-miR-1229-5p	-0.009776598864603426	0.7795691617287498
hsa-miR-6771-3p	-0.00986887182046524	0.7775431144162647
hsa-miR-3148	-0.009894344423022195	0.7769840749082066
hsa-miR-6516-3p	-0.00991470801552521	0.7765372441835082
hsa-miR-1228-5p	-0.009934720957917692	0.7760981795444053
hsa-miR-203b-3p	-0.010032713779559041	0.7739493449653878
hsa-miR-193b-5p	-0.010068048906376503	0.7731749219781977
hsa-miR-3529-3p	-0.010083331849602199	0.7728400428288076
hsa-miR-548c-3p	-0.010126155797346584	0.7719019115163647
hsa-miR-4317	-0.010200145010114242	0.7702818369775077
hsa-miR-365a-5p	-0.010325691532765139	0.7675351502886207
hsa-miR-105-5p	-0.010368802887325104	0.7665926368789734
hsa-miR-4793-3p	-0.010488997393015757	0.7639667322348546
hsa-miR-4761-5p	-0.010514389784327597	0.7634123268232029
hsa-miR-6507-5p	-0.010536037738826994	0.7629397712696416
hsa-miR-6824-5p	-0.010628150200600138	0.7609300260397354
hsa-miR-4766-5p	-0.010869728705159854	0.7556668487994358
hsa-miR-138-2-3p	-0.010952519193266338	0.7538657116704701
hsa-miR-6804-3p	-0.010958486521527155	0.7537359417723779
hsa-miR-548q	-0.011042146251036855	0.751917348387619
hsa-miR-4785	-0.01104681959619291	0.7518157997418937
hsa-miR-544a	-0.011068994604251035	0.7513340102217081
hsa-miR-3160-5p	-0.011149898943497097	0.7495770483589971
hsa-miR-141-3p	-0.011183056690966788	0.7488573509760987
hsa-miR-5739	-0.011188013300829708	0.7487497852328321
hsa-miR-520c-5p	-0.011306443400399286	0.7461811330753774
hsa-miR-518d-5p	-0.011306443400399286	0.7461811330753774
hsa-miR-526a-5p	-0.011306443400399286	0.7461811330753774
hsa-miR-6789-5p	-0.011309997289487237	0.7461040954537719
hsa-miR-6847-5p	-0.011328230142456342	0.7457089019167605
hsa-miR-6073	-0.011412909598823196	0.7438743679188046
hsa-miR-4489	-0.011602962879228358	0.7397622611232495
hsa-miR-4701-5p	-0.011699388987010607	0.7376787554537275
hsa-miR-181d-3p	-0.011769535194702398	0.7361642937567245
hsa-miR-6740-5p	-0.01185196150333321	0.7343860109443812
hsa-miR-3117-3p	-0.012027835360188546	0.7305964314276912
hsa-miR-6803-5p	-0.012053754795497624	0.7300384935752602
hsa-miR-5589-5p	-0.01205593107896995	0.7299916537108181
hsa-miR-122b-5p	-0.01228144915281992	0.7251433375714663
hsa-miR-6744-5p	-0.01228144915281992	0.7251433375714663
hsa-miR-320c	-0.012390697648636538	0.7227985857990623
hsa-miR-6843-3p	-0.012410569387905303	0.722372365898962
hsa-miR-6513-3p	-0.012424781714419332	0.7220675849042559
hsa-miR-3147	-0.012499486711934401	0.7204662735440059
hsa-miR-5680	-0.01258014865583433	0.7187386474522403
hsa-miR-489-3p	-0.0126025968973402	0.7182581032991229
hsa-miR-5590-3p	-0.012662924490062615	0.7169672364137739
hsa-miR-4658	-0.012683293201954174	0.7165315764236417
hsa-miR-328-5p	-0.0127036901502111	0.7160954047568534
hsa-miR-4491	-0.012706329089081253	0.7160389800097664
hsa-miR-6755-3p	-0.012753635016208983	0.7150277662303955
hsa-miR-186-3p	-0.012870341484734846	0.7125351806097114
hsa-miR-941	-0.012895012183936874	0.7120086615428163
hsa-miR-3162-5p	-0.012913738841363343	0.711609090959692
hsa-miR-6895-3p	-0.01293190507403494	0.7112215536899694
hsa-miR-526b-5p	-0.012941463193005376	0.711017681797806
hsa-miR-219b-5p	-0.012970942891373613	0.7103890184227004
hsa-miR-6715b-3p	-0.012975925574763241	0.7102827806271393
hsa-miR-92a-1-5p	-0.012981686180696108	0.710159963436408
hsa-miR-506-5p	-0.013016865269755247	0.7094101018709947
hsa-miR-12120	-0.013016865269755247	0.7094101018709947
hsa-miR-4497	-0.013196544180335699	0.7055845422921343
hsa-miR-6769a-5p	-0.013227384706485979	0.7049286570202161
hsa-miR-7155-5p	-0.01326387422228512	0.7041529174288371
hsa-miR-5685	-0.013308166833981722	0.7032117026186306
hsa-miR-4306	-0.01331134560833678	0.7031441713297372
hsa-miR-4659b-3p	-0.013311410355579395	0.7031427958349591
hsa-miR-6085	-0.01333707614890908	0.7025976264317116
hsa-miR-548ai	-0.01347024711711899	0.6997713866199006
