B.cells	Basophils	CD4..T.cells	CD8..T.cells	Eosinophils	Erythrocytes	Monocytes	Natural.killer.cells	Neutrophils	Plasma	Thrombocytes
5628-SL-0871	0.0768504419256062	0.131382575700117	0	0.0106913292067422	0.197945005337156	0	0.0368370303606255	0.0197859028120049	0	0.475916175130917	0.0505915395268309
SRR23099021	0.115545039461377	0.154596827714398	0	0	0.150425112073781	0	0.047598368702936	0.00611074443353581	0	0.469675789347315	0.0560481182666559
5628-SL-1099	0.0668338180061107	0.143701457630736	0	0.0132406709406412	0.207059550639933	0	0.028620944012004	0.0166804983067815	0	0.473579022124246	0.0502840383395474
5628-SL-0305	0.0783646759601178	0.131014594365411	0	0.00867661274185106	0.203393361615018	0	0.0323508172276916	0.0172739869287744	0	0.478378327339253	0.0505476238218838
5628-SL-1522	0.130739250554816	0.0855187119505133	0	0	0.163251430098698	0	0.0668121958147283	0.0244530464719222	0	0.477309172566991	0.0519161925423317
5628-SL-0830	0.132377779980239	0.086068729535877	0	0	0.166440780981009	0	0.0649672456743564	0.0223706502203128	0	0.475934678749247	0.0518401348589583
5628-SL-1961	0.119703716919197	0.0854630801832228	0	0.00306291598233172	0.17709066232406	0	0.0651780052906099	0.0294741010315428	0	0.469183717440815	0.0508438008282201
SRR9844334	0.0493350708236367	0.196056125606845	0	0.00240572723109455	0.205676413047663	0	0.00823376363688035	0.0104572240238636	0	0.477080240086612	0.0507554355434052
5628-SL-3215	0.105415204528076	0.109970952522377	0	0.00493745394543224	0.178959869541581	0	0.0513629184376472	0.0201992474000691	0	0.477815825486622	0.0513385281381962
5628-SL-2033	0.0951726737225239	0.0980683729365725	0	0.000375901326562152	0.201934711845482	0	0.046657171734135	0.0313657853366852	0	0.475539061316811	0.050886321781228
SRR10416539	0.0323207032828886	0.167344302662108	0	0.00600038067878533	0.227278157223312	0	0.00523721485307235	0.0244336690260764	0	0.487666641444704	0.0497189308290535
5628-SL-0965	0.0832086477345534	0.0510555678448531	0	0.00070968885541115	0.248346934613541	0	0.0284835413406597	0.0434783607178473	0	0.494662994354803	0.0500542645383313
5628-SL-0736	0.102284575788076	0.0935165929145137	0	0.00897891130539365	0.186687542610758	0	0.0552286250092469	0.026071154578061	0	0.476463483877434	0.0507691139165159
5628-SL-2991	0.073829459653304	0.133838014982302	0	0.0101496794438025	0.201787200788666	0	0.0331203359211248	0.0201792510756165	0	0.476510569102698	0.0505854890324863
5628-SL-0294	0.112486653032952	0.120172003958848	0	0.000124464400065406	0.169839191212263	0	0.0510301558718976	0.0168152713482833	0	0.477639365903676	0.0518928942720139
