miRNA	Sex	Disease_Condition	Age	Residual
hsa-miR-3689f	0.0003172162371310063	0.000364595640388413	2.8778848277889102e-05	0.9992894092742027
hsa-miR-369-3p	0.0002120161286835888	0.45012835529020784	0.00033061721612335387	0.5493290113649854
hsa-miR-369-5p	0.00011704792380554783	0.38435227568420505	0.0001019671400257581	0.6154287092519636
hsa-miR-3690	0.0007110145454539592	0.28133322523137927	0.0003440266216518121	0.7176117336015149
hsa-miR-3691-3p	0.00033832071171255247	0.3133491951395283	0.000812583293248506	0.6854999008555107
hsa-miR-3691-5p	0.005517958625085169	0.30649081184567917	9.837180898929553e-05	0.6878928577202462
hsa-miR-3692-3p	2.281230674233798e-06	0.03434924037066842	1.605693722696785e-05	0.9656324214614304
hsa-miR-3692-5p	0.00021529154200415664	0.0002629915763378055	1.5561345187903854e-05	0.99950615553647
hsa-miR-370-3p	0.00023678066732411753	0.5080118156386699	0.0006082497858914903	0.49114315390811447
hsa-miR-370-5p	6.81175694260525e-05	0.20031899620232826	0.0005754463377050344	0.7990374398905407
hsa-miR-3713	0.00026500667834713154	0.0010953350251222409	0.00013028527164222489	0.9985093730248884
hsa-miR-3714	9.322929583807586e-05	0.002377104430619815	0.00019079103585379055	0.9973388752376884
hsa-miR-371a-3p	6.345633577792911e-05	0.03524040013925723	5.133248939866334e-05	0.9646448110355662
hsa-miR-371a-5p	1.8841507581468647e-06	0.009648086579655189	0.0001246286120320083	0.9902254006575546
hsa-miR-371b-3p	0.00010790580055056776	0.04340393771390728	0.000697058551536707	0.9557910979340054
hsa-miR-371b-5p	0.0004397682719549873	0.3579104683050261	0.0015843398945719403	0.6400654235284469
hsa-miR-372-3p	1.4878345991769005e-05	0.0268564683411456	4.995071004831245e-05	0.9730787026028144
hsa-miR-373-3p	0.00020292681656545526	0.005159221272549087	1.234026124427689e-07	0.9946377285082729
hsa-miR-373-5p	6.279169110208786e-05	0.005718429050024485	1.0332872849340984e-07	0.9942186759301449
hsa-miR-374a-3p	6.325477131381585e-05	0.762586262024478	0.00019750941560520065	0.237152973788603
hsa-miR-374a-5p	1.1132227004188902e-05	0.6666018883248214	0.001402628412239008	0.33198435103593543
hsa-miR-374b-3p	2.8385821480766813e-05	0.7328276575537424	0.0002088457158195184	0.2669351109089573
hsa-miR-374b-5p	1.7205153958526357e-05	0.43466240879030565	0.002404201130270533	0.5629161849254654
hsa-miR-374c-3p	1.1756507294429404e-05	0.10214347528233646	0.0009865170325703482	0.8968582511777988
hsa-miR-374c-5p	4.9088360628648344e-05	0.18916655925842576	0.0028765793880217564	0.8079077729929238
hsa-miR-375-3p	7.918465708420324e-05	0.03024437029139607	0.0002920727232265434	0.9693843723282932
hsa-miR-375-5p	0.0001426454762210753	0.00154837410446909	0.00014943739008916392	0.9981595430292207
hsa-miR-376a-2-5p	7.129874896852832e-06	0.2393808622313416	0.00044274458794008883	0.7601692633058215
hsa-miR-376a-3p	1.6514782755400764e-05	0.4624779981754556	0.0008234523434737792	0.5366820346983153
hsa-miR-376a-5p	1.4756254922237183e-05	0.409308624643672	0.0005775609179140224	0.5900990581834916
hsa-miR-376b-3p	6.6171488347759e-05	0.40681607778582535	0.0012171195695666291	0.5919006311562602
hsa-miR-376b-5p	9.619839042351441e-06	0.3354073268070429	0.0004597435502547061	0.6641233098036601
hsa-miR-376c-3p	3.324333297224544e-05	0.46118378565617235	0.0008424170181481414	0.5379405539927072
hsa-miR-376c-5p	3.821507107808289e-05	0.3666060487529324	0.0007527812118941405	0.6326029549640955
hsa-miR-377-3p	1.1733758770145263e-06	0.42121428514135834	0.0012513105839505913	0.577533230898814
hsa-miR-377-5p	4.936406747963654e-05	0.18327328145048843	0.00011865518118363326	0.8165586993008483
hsa-miR-378a-3p	8.752322967058991e-05	0.6653900880359429	0.00038529475113903845	0.33413709398324765
hsa-miR-378a-5p	0.0006382653286351205	0.4752864938964801	0.0012179036393561251	0.5228573371355287
