MiRBase ID	Family
hsa-mir-651	MIR-651
hsa-mir-652	MIR-652
hsa-mir-653	MIR-653
hsa-mir-670	MIR-670
hsa-mir-671	MIR-671
hsa-mir-675	MIR-675
hsa-mir-676	MIR-676
hsa-mir-708	MIR-708
hsa-mir-744	MIR-744
hsa-mir-760	MIR-760
hsa-mir-766	MIR-766
hsa-mir-769	MIR-769
hsa-mir-770	MIR-770
hsa-mir-873	MIR-873
hsa-mir-874	MIR-874
hsa-mir-875	MIR-875
hsa-mir-876	MIR-876
hsa-mir-877	MIR-877
hsa-mir-885	MIR-885
hsa-mir-887	MIR-887
hsa-mir-934	MIR-934
hsa-mir-935	MIR-935
hsa-mir-944	MIR-944
hsa-mir-1180	MIR-1180
hsa-mir-1247	MIR-1247
hsa-mir-1249	MIR-1249
hsa-mir-1251	MIR-1251
hsa-mir-1252	MIR-1252
hsa-mir-1264	MIR-1264
hsa-mir-1266	MIR-1266
hsa-mir-1269a	MIR-1269
hsa-mir-1270	MIR-1270
hsa-mir-1271	MIR-1271
hsa-mir-1276	MIR-1276
hsa-mir-1277	MIR-1277
hsa-mir-1278	MIR-1278
hsa-mir-1286	MIR-1286
hsa-mir-1287	MIR-1287
hsa-mir-1294	MIR-1294
hsa-mir-1295a	MIR-1295
hsa-mir-1296	MIR-1296
hsa-mir-1298	MIR-1298
hsa-mir-1301	MIR-1301
hsa-mir-1306	MIR-1306
hsa-mir-1307	MIR-1307
hsa-mir-1343	MIR-1343
hsa-mir-1908	MIR-1908
hsa-mir-1910	MIR-1910
hsa-mir-1911	MIR-1911
hsa-mir-1912	MIR-1912
hsa-mir-1913	MIR-1913
hsa-mir-1914	MIR-1914
hsa-mir-2114	MIR-2114
hsa-mir-2115	MIR-2115
hsa-mir-2116	MIR-2116
hsa-mir-2276	MIR-2276
hsa-mir-2355	MIR-2355
hsa-mir-2467	MIR-2467
	MIR-3059
	MIR-3085
hsa-mir-3126	MIR-3126
hsa-mir-3127	MIR-3127
hsa-mir-3136	MIR-3136
hsa-mir-3138	MIR-3138
hsa-mir-3140	MIR-3140
hsa-mir-3144	MIR-3144
hsa-mir-3145	MIR-3145
hsa-mir-3146	MIR-3146
hsa-mir-3173	MIR-3173
hsa-mir-3174	MIR-3174
hsa-mir-3180-1	MIR-3180
hsa-mir-3180-2	MIR-3180
hsa-mir-3180-3	MIR-3180
hsa-mir-3187	MIR-3187
hsa-mir-3194	MIR-3194
hsa-mir-3611	MIR-3611
hsa-mir-3613	MIR-3613
hsa-mir-3615	MIR-3615
hsa-mir-3617	MIR-3617
hsa-mir-3619	MIR-3619
hsa-mir-3622a	MIR-3622
hsa-mir-3663	MIR-3663
hsa-mir-3690-1	MIR-3690
hsa-mir-3909	MIR-3909
hsa-mir-3924	MIR-3924
hsa-mir-3934	MIR-3934
hsa-mir-3942	MIR-3942
hsa-mir-3944	MIR-3944
hsa-mir-4424	MIR-4424
hsa-mir-4524a	MIR-4524
hsa-mir-4637	MIR-4637
hsa-mir-4661	MIR-4661
hsa-mir-4662b	MIR-4662
hsa-mir-4664	MIR-4664
hsa-mir-4677	MIR-4677
hsa-mir-4731	MIR-4731
hsa-mir-4766	MIR-4766
hsa-mir-4798	MIR-4798
hsa-mir-5579	MIR-5579
hsa-mir-5581	MIR-5581
hsa-mir-5586	MIR-5586
hsa-mir-5687	MIR-5687
	MIR-6529
hsa-mir-6715a	MIR-6715
hsa-mir-7151	MIR-7151
hsa-mir-7706	MIR-7706
hsa-mir-7854	MIR-7854
hsa-mir-9851	MIR-9851
	MIR-12462
	MIR-12463
