miRNA	B cells	Basophils	CD4+ T cells	CD8+ T cells	Eosinophils	Erythrocytes	Monocytes	Natural killer cells	Neutrophils	Plasma	Thrombocytes
hsa-miR-5187-5p	1.8058102208715878	3.117490377055237	0.7607106739852953	0.811375875548715	0.9607265929464512	1.6179135395921942	4.910261604561357	3.018872917132899	2.8532869383703425	0.49579655414568435	7.939431391575819
hsa-miR-5189-3p	0.32342277226201505	0.03518355251066745	0.10106519191408317	0.17470236035582426	0.25673624193029915	2.062934901800695	0.019455145117493647	0.7929733386878826	0.13238733388343743	2.744974753986851	1.2606201739463117
hsa-miR-5193	5.374379161378598	0.7540609586647122	2.530261132037875	3.761658681440712	1.8297955083011492	0.22165733901512294	1.0035071943496285	3.1053650220103033	0.9093671532265659	0.33134142832375857	2.2504518114953056
hsa-miR-5196-3p	58.233306651697994	0.055957114892015415	0.01005781761362574	0.059983692352852044	0.0007685290094305	0.0	0.030535563130061803	0.41234572727469426	0.015741035923643128	0.06896768139965771	0.0964029961918714
hsa-miR-532-3p	32.90070936217319	14.331852495550905	30.78776099144686	31.20550538918206	16.184329476223738	42.2273813400405	135.80655281529056	43.251794216230415	17.774219549427762	94.13120152926476	7.406710601841696
hsa-miR-532-5p	109.20859973223804	64.35907160609568	147.65715718552428	117.66777782861472	97.70499853104873	224.47675548725164	825.7767540791715	245.47883335610013	102.7493717057516	278.74763924288357	39.24909552978382
hsa-miR-542-3p	0.4695125768817026	19.23089512666883	4.833723120236555	3.885490702222359	185.13385416340657	2.8210450045471593	67.7313716316161	5.8284346851446704	233.59910311019863	5.3543888747840755	5.616281922038064
hsa-miR-542-5p	0.3227118433917046	7.221250070204166	1.317896763652917	2.1467103663490676	102.10352981728785	2.8799619709199016	25.07054058867033	3.1132814570613205	55.005521140837054	1.4810646735023862	2.4687455232458384
hsa-miR-545-3p	0.8098047651231758	0.31620204701651927	0.5152304427958597	2.2940246658907153	1.6090012710475838	3.0304777852433187	0.9022793823855626	1.6377052320260075	1.624807728735219	0.3098186607275185	1.2846430709782504
hsa-miR-545-5p	0.3104079635109945	0.4690886174787178	0.36275515506765216	0.6006388603410386	1.2405684959546106	1.8215071092748665	1.1894522456485492	0.714294965511812	1.3561523197621834	0.37210112256072725	2.1424937282391667
