Sample	cell_type	Bases
SRR23591410	Neutrophils	715605996
SRR23591411	Neutrophils	1061792760
SRR23591412	Natural killer cells	1241509905
SRR23591413	Natural killer cells	2880530705
SRR23591414	Natural killer cells	2235679737
SRR23591415	Natural killer cells	3799053161
SRR23591416	Natural killer cells	2641686918
SRR23591417	Natural killer cells	1957577494
SRR23591418	Natural killer cells	2017881486
SRR23591419	Natural killer cells	2709627883
SRR23591420	Natural killer cells	54911684
SRR23591421	Natural killer cells	2291117673
SRR23591422	Natural killer cells	2883327963
SRR23591423	Natural killer cells	3079259563
SRR23591424	Natural killer cells	2687872915
SRR23591425	Natural killer cells	2706780996
SRR23591426	Natural killer cells	2194650328
SRR23591427	Monocytes	1209697077
SRR23591428	Monocytes	1127248043
SRR23591429	Monocytes	891821415
SRR23591430	Monocytes	1117395231
SRR23591431	Monocytes	1365705600
SRR23591432	Monocytes	1267669452
SRR23591433	Monocytes	1317824844
SRR23591434	Monocytes	1457861412
SRR23591435	Monocytes	1836606996
SRR23591436	Monocytes	1476575268
SRR23591437	Monocytes	1293531624
SRR23591438	Monocytes	1184401176
SRR23591439	Monocytes	853721253
SRR23591440	Monocytes	633915548
SRR23591441	Monocytes	1017448105
SRR23591442	Monocytes	1021835195
SRR23591443	Monocytes	755994297
SRR23591444	Monocytes	885265559
SRR23591445	Monocytes	1310907719
SRR23591446	Monocytes	1155197051
SRR23591447	Monocytes	1230730259
SRR23591448	Monocytes	1135042849
SRR23591449	Monocytes	1551775787
SRR23591450	Monocytes	1031706680
SRR23591451	Monocytes	1273221203
SRR23591452	Monocytes	1395041157
SRR23591453	Monocytes	1301289491
SRR23591454	Monocytes	1182609725
SRR23591455	Monocytes	1229356977
SRR23591456	Monocytes	1159535932
SRR23591457	Monocytes	1689571380
SRR23591458	Monocytes	1131669071
SRR23591459	Monocytes	1463452568
SRR23591460	Monocytes	1271352554
SRR23591461	Monocytes	1336682991
SRR23591462	Monocytes	757055534
SRR23591463	Eosinophils	2256084711
SRR23591464	Eosinophils	1777168056
SRR23591465	Eosinophils	2358766828
SRR23591466	Eosinophils	1790175185
SRR23591467	Eosinophils	2466440529
SRR23591468	Eosinophils	2242822124
SRR23591469	Eosinophils	1898020422
SRR23591470	Eosinophils	599906264
SRR23591471	Eosinophils	1535706783
SRR23591472	Eosinophils	878208372
SRR23591473	Eosinophils	689045770
SRR23591474	Eosinophils	586588013
SRR23591475	Eosinophils	1634457630
SRR23591476	Eosinophils	1325368928
SRR23591477	Eosinophils	2129558593
SRR23591478	Eosinophils	2369585311
SRR23591479	Eosinophils	1655136096
SRR23591480	Eosinophils	1307651304
SRR23591481	Eosinophils	1885976266
SRR23591482	Eosinophils	1785461637
SRR23591483	Eosinophils	2389339215
SRR23591484	Eosinophils	1517292081
SRR23591485	Eosinophils	1781514108
SRR23591486	Eosinophils	1605889999
SRR23591487	CD4+ T cells	1521463615
SRR23591488	CD4+ T cells	779480245
SRR23591489	CD4+ T cells	1226911666
SRR23591490	CD4+ T cells	1187814664
SRR23591491	CD4+ T cells	1194397571
SRR23591492	CD4+ T cells	1263189897
SRR23591493	CD4+ T cells	1305794228
SRR23591494	CD4+ T cells	1291166808
SRR23591495	CD4+ T cells	1259519055
SRR23591496	CD4+ T cells	725984017
SRR23591497	CD4+ T cells	648854445
SRR23591498	CD4+ T cells	829352136
SRR23591499	CD4+ T cells	1006574597
SRR23591500	CD4+ T cells	1151021186
SRR23591501	CD4+ T cells	774548656
SRR23591502	CD4+ T cells	1050609649
SRR23591503	CD4+ T cells	1074890797
SRR23591504	CD4+ T cells	1350799353
SRR23591505	CD4+ T cells	1446569975
SRR23591506	CD4+ T cells	1174855318
SRR23591507	CD4+ T cells	1179565387
SRR23591508	CD4+ T cells	1078069609
SRR23591509	CD4+ T cells	1015286297
SRR23591510	CD4+ T cells	1448518428
