miRNA	B cells	Basophils	CD4+ T cells	CD8+ T cells	Eosinophils	Erythrocytes	Monocytes	Natural killer cells	Neutrophils	Plasma	Thrombocytes	Tissue_of_max_Expresison	TSI
hsa-miR-3615	29.57568680553464	23.503001769501427	21.96630118549633	61.14678143936981	119.36538007480311	71.46439743494903	79.52313341543669	97.12382699475256	156.80155188077418	317.6038783997418	24.83698638665275	Plasma	0.7842258567999189
hsa-miR-362-3p	0.8607049361234285	0.1159003943086361	1.2770633454594496	1.8065067000571664	0.8947258095827387	0.3223836575282965	3.951853211260244	1.706609935489675	0.6054419069360374	0.1160946657514254	0.0334762776083323	Monocytes	0.8041701648534345
hsa-miR-362-5p	6.29347798643582	3.656809779103312	8.80230059672296	11.308617764284332	10.270490742552896	7.774551917494812	54.403728273261216	13.769246162368594	7.059778369492135	5.54744558196745	4.417375589714888	Monocytes	0.8549730009424452
hsa-miR-363-3p	151.57822050387932	66.16052541929032	110.2665340826282	168.37652598499832	47.861668835986485	331.25874525092246	75.70798011937305	706.7714903146996	12.816682051816482	256.9915677616626	30.32771829363715	Natural killer cells	0.8229489749583679
hsa-miR-363-5p	1.460931665013366	0.26139064178831	0.530346384231752	0.5845389034183076	0.1749824864429019	0.5093062619004423	0.4170379121765739	6.436536751563272	0.0266654699361038	0.6363295417631678	0.2292562817444718	Natural killer cells	0.924947440916233
hsa-miR-365a-3p	24.74156864723219	9.337874674998597	29.255081433889917	14.462969351243144	7.439785673886998	0.8950419509794786	75.00884131814965	4.764722057987548	59.16597542959559	8.81465377629904	0.8888092584226028	Monocytes	0.7870031326348768
hsa-miR-365b-3p	24.74156864723219	9.337874674998597	29.255081433889917	14.462969351243144	7.438564168452715	0.8950419509794786	75.01352125759418	4.764722057987548	59.17338423428215	8.81465377629904	0.8888092584226028	Monocytes	0.7870081728264257
hsa-miR-365b-5p	0.1810741517671178	0.4260324606316149	0.0401545328028368	0.0297140758625486	0.094544039090344	0.0602454259760323	1.3305833740430717	0.0946193925124139	0.3444650501019482	0.0542616286435758	0.0510435069307095	Monocytes	0.89657511951787
hsa-miR-3667-3p	0.7825112778621115	0.4320786422983506	0.6645957665569678	1.3061060662337878	0.6197695662415958	0.0320939580253963	0.8497895857825934	1.2824329619049464	0.7093519283776183	0.0421891734836006	0.0316942475268542	CD8+ T cells	0.5829965690485407
hsa-miR-3667-5p	1.8896477522676285	0.6313207112454555	1.4871665016976752	2.664679065222188	1.070062240083553	0.434684359547244	1.076059721298793	2.5184858802653487	1.1147394722451185	0.6073210242333793	0.1540091729817079	CD8+ T cells	0.5878116438404911
hsa-miR-3679-5p	5.158057588729802	2.107394978845963	1.834286144261495	2.472429098849159	1.5785792634904767	0.0690430600925765	3.6942402217535593	3.3983167126673948	3.679001832501868	0.6657225312719396	4.010996861856948	B cells	0.5442080608607388
hsa-miR-3688-3p	0.1034385359739164	0.1378613116766507	0.1902372868479194	0.2961249335366751	0.7071616893878369	5.538693490880416	0.923080002109444	0.4808868089565131	0.8366928815787127	5.996990139109132	0.4290906113161808	Plasma	0.8391982089585893
hsa-miR-369-3p	1.4271395278129495	0.1016452655968787	0.0882249919291436	0.8083119600850144	0.2374710020155899	0.0137163031178523	0.3287445365090172	3.2688524196325623	0.2690973063942939	0.5218037325788976	19.709156470756373	Thrombocytes	0.9641536812792827
hsa-miR-369-5p	2.7751677809984114	0.7452225167283095	0.1788435208374584	0.849890529003548	0.3993518301454513	0.0154229952982285	0.4842657393765265	5.650926495647538	0.3532470185212783	0.0566909901706728	44.50510403829789	Thrombocytes	0.9741399786262189
hsa-miR-3690	0.0418544186563605	0.0063065499665675	0.1072595086403542	0.0	2.92210812661872	0.0	2.3088039032909684	0.1422613742479958	1.51760733961457	0.0171014016225671	0.0335549017105688	Eosinophils	0.8571322751639341
hsa-miR-370-3p	5.32811065596474	0.194962008244739	0.1567336440261146	0.5881724104279168	0.2992696832254946	0.0087397162876745	0.8892943830669012	7.930317825564138	0.6156427375711495	1.156429804706427	97.15844173559604	Thrombocytes	0.9823302303305719
hsa-miR-371b-5p	0.0	0.0210020083339799	0.0298662310607828	0.0092872616116708	0.654163984238806	0.0	1.255712093809105	0.0950421667985619	1.4076004775771618	0.0	0.003616397391299	Neutrophils	0.8530342823693164
hsa-miR-374a-3p	12.74661813587653	36.51589967886488	34.200355903945024	83.65817996825427	57.02417916240847	33.646767232332124	46.74495922653554	46.29827651104315	57.72790227909503	3.35681930609252	46.34438386584677	CD8+ T cells	0.5522181316349559
hsa-miR-374a-5p	116.07680076312344	144.40968635156733	311.6063562621391	818.1543478341865	546.367432600636	211.07149635464455	332.50941624855176	371.9509368816347	285.8069513344875	52.07858392324732	215.13223234523116	CD8+ T cells	0.6837992855610215
hsa-miR-374b-3p	2.0034923485651506	5.106650016360117	4.501494961317359	5.244918719049789	7.290935514059162	1.092213828520722	14.227523777547514	9.6424601240247	8.651563387571118	0.1679620253016396	6.418953065539636	Monocytes	0.6477205396106603
hsa-miR-374b-5p	37.36002932661903	33.18124985700112	94.38310013818626	194.42458212967225	154.79963225949217	28.537994988274622	146.99548315052488	136.86082914177902	104.88709875581432	8.617874599520412	60.30002448606599	CD8+ T cells	0.5854828088735384
hsa-miR-374c-5p	0.2251568209372959	0.2039983091411668	0.53104198015742	2.3746387607182458	1.288920964541583	0.2519811942295771	1.0115833896162008	0.8144981712021714	0.6030784940662074	0.0506968512849499	0.115278695897723	CD8+ T cells	0.7853890471520452
hsa-miR-375-3p	0.0664312079665774	0.0726155417866805	0.0744536448783759	0.1975166076207236	0.0861583170899352	0.0542320152717842	0.0093063871279259	0.0603780272261968	0.0313914125203774	39.02250242619225	0.0303262423939896	Plasma	0.9982502162561869
hsa-miR-376a-3p	4.0043698508834655	0.2441815735108561	0.6211242217362605	3.2237199309310904	0.3693659311586803	0.0181182616499022	1.1416649722744832	13.43056704340139	0.9965008170979478	0.600597350984375	39.91300979354888	Thrombocytes	0.9382401625907635
hsa-miR-376c-3p	2.3384912114263634	0.1564010091213834	0.3595359165052159	1.990953808596418	0.4244723784628926	0.0	0.7470600361534253	8.222236987179121	0.6177374966923609	0.0335778926848282	19.07375978282728	Thrombocytes	0.921932189005398
hsa-miR-378a-3p	349.59293560243594	68.38036306404959	143.32714442558105	291.0869521318039	111.2489831756044	62.59966684393431	804.6757522604307	249.6660865214105	126.14355594760008	98.32420231454208	34.02875342507755	Monocytes	0.8093146662936307
hsa-miR-378a-5p	43.54270021770821	6.017654923092626	21.17223725355434	27.170882201270288	16.5175353559714	8.923171763920871	155.16979063117927	29.06452920433125	14.720337798152242	13.911594936218282	2.883523253793188	Monocytes	0.8814690886931855
hsa-miR-378c	45.03692994212911	7.5950273328656195	17.01188243387411	66.99219976113245	13.484906412592496	4.6020213560400585	43.85566441893046	20.553130878485728	16.077630021519283	4.733553952185705	1.3301048143892304	CD8+ T cells	0.7398490388665725
hsa-miR-378d	8.667398561708366	0.7455106616479278	3.811148807164174	20.67903851444605	2.56035592442152	0.6327248624462333	7.034863460067305	3.686050832222095	2.9710869058475926	0.5908674421379341	0.1737952588820493	CD8+ T cells	0.8507000086344573
hsa-miR-378f	2.815888837681644	1.2095632556915463	1.0098480722758714	3.1043024615639614	2.035161572144585	0.2027789453739258	3.080131409841431	1.5861418538024803	1.6462288610204512	0.2704604010051633	0.1636788303887889	CD8+ T cells	0.5483725502648795
hsa-miR-378i	23.42688569685155	2.708910857090082	5.432129662030877	12.74679806052845	8.37807325270412	0.9562995935385328	17.01864886407071	10.516714469355463	5.410950349528805	4.177939813914206	1.4357802329477891	B cells	0.706396120910971
hsa-miR-379-5p	9.008804407266094	3.5198328256387184	0.5704161473724926	1.3224675329080164	0.8261739716856926	0.0692586173964047	1.864498166561371	17.808559357057774	2.3725814038197592	0.392542979205408	156.03581321925748	Thrombocytes	0.9758035449490949
hsa-miR-381-3p	5.240868713882516	1.005232381378483	0.261746661083758	2.96478642910465	0.6049576199141162	0.0394028718029814	1.1007168639854052	13.382599839944408	1.343559929296322	0.3888988299417796	95.34743814501915	Thrombocytes	0.9723822992493165
hsa-miR-382-5p	24.068194457437773	2.006113487701826	0.4623697497589116	1.1898765360976191	1.255047765830614	0.1225065663940803	2.238397351075602	13.417682830098745	1.0394319974822923	9.280177449447294	314.6481993031689	Thrombocytes	0.9824947994893005
hsa-miR-3912-3p	1.0592460248394089	0.4664135194107155	2.857348971435317	4.549304542957073	1.8930588621855529	0.6212135917590373	0.5652918878312592	1.846818723663022	0.905597057241134	0.6618466813624367	0.3052284712078286	CD8+ T cells	0.7542027867040242
hsa-miR-3913-5p	1.428600946283812	2.122908569994121	0.6010569322968993	1.2506972282783966	3.76448365084877	2.4984451107312258	0.6413873898343314	1.863773120116854	1.2306280328480173	1.3868601623999566	0.7660389151893673	Eosinophils	0.6336709709215049
hsa-miR-3928-3p	2.4637033919611446	2.163158395631924	1.6881591550561068	1.8150249334648385	3.8769044528483287	1.8500678408664455	6.686467244200979	4.597177843906003	5.310431917446176	1.1597049109297466	2.752828480685172	Monocytes	0.5860719822294852
hsa-miR-3934-5p	0.788513653290416	0.1004555246938894	1.183455331174331	2.256549455908927	0.0427535356719766	0.0369570658547903	0.1133162830654139	1.0761801683593837	0.0160573341326767	0.0061572935684718	0.0018081986956495	CD8+ T cells	0.8508495180686687
hsa-miR-3940-3p	1.6658470802323906	0.0616119623785034	0.7602588688596382	1.0591677551262182	0.4911003971747857	5.098719365221858	0.9262684201681164	1.4743161791295931	0.42654856439242	11.099680369798202	0.8299777319147807	Plasma	0.8847370744169373
hsa-miR-3960	0.8412623682693814	3.01393028653302	0.1758976346354112	0.2978315590321295	0.3046610716797259	13.365475663317806	0.1265873335019019	0.6004307720168387	0.1717039350221302	88.61358121897528	0.8798102085336403	Plasma	0.9776810839145875
